,Genotype,Location,InfectionStatus,Block,IFNg,IL-5,TNF-a,IL-6,IL-17A,IL-22
461,PWK,Lab,Uninfected,Block1,0.545968369,0.389566812,1.627606838,1.182692298,1.454175893,0.275007047
464,PWK,SF,Infected,Block1,1.163498732,0.485426827,2.150559677,4.199279721,0.35614381,1.275007047
465,PWK,SF,Uninfected,Block1,0.40053793,0.485426827,2.952333566,3.72900887,1.40053793,1.097610797
466,PWK,SF,Infected,Block1,0.124328135,0.485426827,0.070389328,3.43162296,1.097610797,0.137503524
467,PWK,Lab,Infected,Block1,0.286881148,0.575312331,1.14404637,5.288358562,2.46727948,2.521050737
468,PWK,Lab,Uninfected,Block1,0.432959407,0.669026766,1.292781749,1.021479727,0.948600847,1.35614381
470,PWK,Lab,Infected,Block1,1.117695043,0.485426827,0.839959587,2.201633861,0.378511623,0.137503524
471,PWK,SF,Uninfected,Block1,0.839959587,0.485426827,2.733354341,2.59454855,0.799087306,0.137503524
472,PWK,Lab,Uninfected,Block1,0.084064265,0.485426827,0.070389328,1.321928095,0.298658316,0.137503524
474,PWK,SF,Infected,Block1,0.678071905,0.485426827,2.150559677,2.440952198,0.97819563,0.443606651
